Equatorial Guinea,GNQ,Population density (people per sq. km of land area),46.6657397504456
Greece,GRC,Population density (people per sq. km of land area),83.2247323506594
Grenada,GRD,Population density (people per sq. km of land area),327.805882352941
Greenland,GRL,Population density (people per sq. km of land area),0.136496528200755
Guatemala,GTM,Population density (people per sq. km of land area),160.953779395297
Guam,GUM,Population density (people per sq. km of land area),306.977777777778
Guyana,GUY,Population density (people per sq. km of land area),3.95734823469647
High income,HIC,Population density (people per sq. km of land area),34.4377658355898
"Hong Kong SAR, China",HKG,Population density (people per sq. km of land area),7096.19047619048
Honduras,HND,Population density (people per sq. km of land area),85.6870319063366
Heavily indebted poor countries (HIPC),HPC,Population density (people per sq. km of land area),44.8957816454125
Croatia,HRV,Population density (people per sq. km of land area),73.0771979985704
Haiti,HTI,Population density (people per sq. km of land area),403.59854862119
Hungary,HUN,Population density (people per sq. km of land area),107.906605545123
IBRD only,IBD,Population density (people per sq. km of land area),68.7859051970979
IDA & IBRD total,IBT,Population density (people per sq. km of land area),68.7084518843392
IDA total,IDA,Population density (people per sq. km of land area),68.4840897212872
IDA blend,IDB,Population density (people per sq. km of land area),93.3256218287322
Indonesia,IDN,Population density (people per sq. km of land area),147.75219008926
IDA only,IDX,Population density (people per sq. km of land area),60.2621873819374
Isle of Man,IMN,Population density (people per sq. km of land area),147.50350877193
India,IND,Population density (people per sq. km of land area),454.938072575247
Not classified,INX,Population density (people per sq. km of land area),
Ireland,IRL,Population density (people per sq. km of land area),70.452983016403
"Iran, Islamic Rep.",IRN,Population density (people per sq. km of land area),50.222420123284
Iraq,IRQ,Population density (people per sq. km of land area),88.5305700354617
Iceland,ISL,Population density (people per sq. km of land area),3.52692269326683
Israel,ISR,Population density (people per sq. km of land area),410.526802218115
Italy,ITA,Population density (people per sq. km of land area),205.450747943156
Jamaica,JAM,Population density (people per sq. km of land area),270.993074792244
Jordan,JOR,Population density (people per sq. km of land area),112.14249831043
Japan,JPN,Population density (people per sq. km of land area),347.073458415624
Kazakhstan,KAZ,Population density (people per sq. km of land area),6.76982590658221
Kenya,KEN,Population density (people per sq. km of land area),90.2994166637383
Kyrgyz Republic,KGZ,Population density (people per sq. km of land area),32.9290928050052
Cambodia,KHM,Population density (people per sq. km of land area),92.0564128710628
Kiribati,KIR,Population density (people per sq. km of land area),143.020987654321
St. Kitts and Nevis,KNA,Population density (people per sq. km of land area),201.696153846154
"Korea, Rep.",KOR,Population density (people per sq. km of land area),529.652103632681
Kuwait,KWT,Population density (people per sq. km of land area),232.172222222222
Latin America & Caribbean (excluding high income),LAC,Population density (people per sq. km of land area),32.0214614597141
Lao PDR,LAO,Population density (people per sq. km of land area),30.5957842287695
Lebanon,LBN,Population density (people per sq. km of land area),669.494134897361
Liberia,LBR,Population density (people per sq. km of land area),50.0309073920266
Libya,LBY,Population density (people per sq. km of land area),3.79563238119054
St. Lucia,LCA,Population density (people per sq. km of land area),298.17868852459
Latin America & Caribbean,LCN,Population density (people per sq. km of land area),32.0057333680836
Least developed countries: UN classification,LDC,Population density (people per sq. km of land area),56.8413289019083
Low income,LIC,Population density (people per sq. km of land area),51.673738313444
Liechtenstein,LIE,Population density (people per sq. km of land area),236.9375
Sri Lanka,LKA,Population density (people per sq. km of land area),345.558922022006
Lower middle income,LMC,Population density (people per sq. km of land area),150.081518176415
Low & middle income,LMY,Population density (people per sq. km of land area),69.2415960633107
Lesotho,LSO,Population density (people per sq. km of land area),69.437812911726
Late-demographic dividend,LTE,Population density (people per sq. km of land area),51.408720555305
Lithuania,LTU,Population density (people per sq. km of land area),44.5313513780643
Luxembourg,LUX,Population density (people per sq. km of land area),250.093827160494
Latvia,LVA,Population density (people per sq. km of land area),30.9833065294307
"Macao SAR, China",MAC,Population density (people per sq. km of land area),20777.5002607232
St. Martin (French part),MAF,Population density (people per sq. km of land area),
Morocco,MAR,Population density (people per sq. km of land area),80.7285189334528
Monaco,MCO,Population density (people per sq. km of land area),
Moldova,MDA,Population density (people per sq. km of land area),123.51980353224
Madagascar,MDG,Population density (people per sq. km of land area),45.1398556204881
Maldives,MDV,Population density (people per sq. km of land area),1718.98666666667
Middle East & North Africa,MEA,Population density (people per sq. km of land area),39.997702909805
Mexico,MEX,Population density (people per sq. km of land area),64.9146264050001
Marshall Islands,MHL,Population density (people per sq. km of land area),324.516666666667
Middle income,MIC,Population density (people per sq. km of land area),72.294869980189
North Macedonia,MKD,Population density (people per sq. km of land area),82.5915146708961
Mali,MLI,Population density (people per sq. km of land area),15.635015858186
Malta,MLT,Population density (people per sq. km of land area),1511.03125
Myanmar,MMR,Population density (people per sq. km of land area),82.2386154835549
Middle East & North Africa (excluding high income),MNA,Population density (people per sq. km of land area),44.3111694561864
Montenegro,MNE,Population density (people per sq. km of land area),46.2710037174721
Mongolia,MNG,Population density (people per sq. km of land area),2.04060866654651
Northern Mariana Islands,MNP,Population density (people per sq. km of land area),123.65652173913
Mozambique,MOZ,Population density (people per sq. km of land area),37.508535313716
Mauritania,MRT,Population density (people per sq. km of land area),4.27216357815077
Mauritius,MUS,Population density (people per sq. km of land area),623.30197044335
Malawi,MWI,Population density (people per sq. km of land area),192.440761561307
Malaysia,MYS,Population density (people per sq. km of land area),95.9628214883579
North America,NAC,Population density (people per sq. km of land area),19.9709762368072
Namibia,NAM,Population density (people per sq. km of land area),2.97374558175127
New Caledonia,NCL,Population density (people per sq. km of land area),15.5393873085339
Niger,NER,Population density (people per sq. km of land area),17.7176505881424
Nigeria,NGA,Population density (people per sq. km of land area),215.064988965381
Nicaragua,NIC,Population density (people per sq. km of land area),53.7270483629716
Netherlands,NLD,Population density (people per sq. km of land area),511.457910359157
Norway,NOR,Population density (people per sq. km of land area),14.5549195374975
Nepal,NPL,Population density (people per sq. km of land area),195.939107080572
Nauru,NRU,Population density (people per sq. km of land area),635.2
New Zealand,NZL,Population density (people per sq. km of land area),18.5541756864532
OECD members,OED,Population density (people per sq. km of land area),37.8092345649061
Oman,OMN,Population density (people per sq. km of land area),15.6041453957997
Other small states,OSS,Population density (people per sq. km of land area),15.1386164116647
Pakistan,PAK,Population density (people per sq. km of land area),275.289318700706
Panama,PAN,Population density (people per sq. km of land area),56.1860774818402
Peru,PER,Population density (people per sq. km of land area),24.99160625
Philippines,PHL,Population density (people per sq. km of land area),357.688305329175
Palau,PLW,Population density (people per sq. km of land area),38.9282608695652
Papua New Guinea,PNG,Population density (people per sq. km of land area),19.0043633794109
Poland,POL,Population density (people per sq. km of land area),124.035886214442
Pre-demographic dividend,PRE,Population density (people per sq. km of land area),51.6874400219725
Puerto Rico,PRI,Population density (people per sq. km of land area),360.220180383315
"Korea, Dem. People’s Rep.",PRK,Population density (people per sq. km of land area),212.190175234615
Portugal,PRT,Population density (people per sq. km of land area),112.23945350807
Paraguay,PRY,Population density (people per sq. km of land area),17.5083589227284
West Bank and Gaza,PSE,Population density (people per sq. km of land area),758.984551495017
Pacific island small states,PSS,Population density (people per sq. km of land area),38.2767445482866
Post-demographic dividend,PST,Population density (people per sq. km of land area),35.2674889372306
French Polynesia,PYF,Population density (people per sq. km of land area),75.8685792349727
